,type,image_name,sharpness,illumination,quality_score,category
0,real_A,0001_real_A.png,23.04955150000629,0.59375,13.685671203128736,1
1,real_A,0002_real_A.png,12.262146916003655,0.328125,4.023516956813699,3
2,real_A,0003_real_A.png,16.19365324174142,0.5,8.09682662087071,2
3,real_A,0004_real_A.png,12.345652255055548,0.140625,1.7361073483671863,4
4,real_A,0005_real_A.png,13.478410028796217,0.40625,5.475604074198463,3
5,real_A,0006_real_A.png,16.180349073695023,0.484375,7.837356582571027,2
6,real_A,0007_real_A.png,11.362465640979101,0.328125,3.7283090384462674,3
7,real_A,0008_real_A.png,12.992488420788684,0.515625,6.699251841969165,2
8,real_A,0009_real_A.png,15.484516134321213,0.3125,4.838911291975379,3
9,real_A,0010_real_A.png,9.7007407548773,0.25,2.425185188719325,3
10,real_A,0011_real_A.png,16.698570704190804,0.34375,5.740133679565589,3
11,real_A,0012_real_A.png,14.72961911024342,0.5,7.36480955512171,2
12,real_A,0013_real_A.png,11.787943460925646,0.34375,4.052105564693191,3
13,real_A,0014_real_A.png,14.422171832712475,0.328125,4.732275132608781,3
14,real_A,0015_real_A.png,10.384240133238425,0.25,2.596060033309606,3
15,real_A,0016_real_A.png,10.683165183909038,0.40625,4.3400358559630465,3
16,real_A,0017_real_A.png,13.731312196852212,0.375,5.149242073819579,3
17,real_A,0018_real_A.png,11.35189113349006,0.421875,4.789079071941119,3
18,real_A,0019_real_A.png,10.334963685497806,0.234375,2.4222571137885485,3
19,real_A,0020_real_A.png,10.784001928493284,0.1875,2.022000361592491,3
20,real_A,0021_real_A.png,20.049752324306642,0.5625,11.277985682422486,1
21,real_A,0022_real_A.png,14.376640361503753,0.46875,6.7390501694548846,2
22,real_A,0023_real_A.png,10.282424402453497,0.15625,1.606628812883359,4
23,real_A,0024_real_A.png,11.301185007818635,0.265625,3.001877267701825,3
24,real_A,0025_real_A.png,15.742028011376359,0.4375,6.887137254977157,2
25,real_A,0026_real_A.png,12.640980097408427,0.296875,3.752790966418127,3
26,real_A,0027_real_A.png,14.33906961343677,0.390625,5.601199067748738,3
27,real_A,0028_real_A.png,10.39866412341297,0.3125,3.2495825385665533,3
28,real_A,0029_real_A.png,18.773910833245598,0.484375,9.093613059853336,2
29,real_A,0030_real_A.png,10.325366981162984,0.265625,2.7426756043714176,3
30,real_A,0031_real_A.png,9.034392186507707,0.28125,2.5409228024552926,3
31,real_A,0032_real_A.png,7.057646413776726,0.0,0.0,4
32,real_A,0033_real_A.png,11.49082714816072,0.5,5.74541357408036,3
33,real_A,0034_real_A.png,15.27493036772887,0.40625,6.205440461889854,2
34,real_A,0035_real_A.png,18.61901503165494,0.609375,11.345962284914728,1
35,real_A,0036_real_A.png,18.235131337540146,0.390625,7.12309817872662,2
36,real_A,0037_real_A.png,11.58345539067869,0.203125,2.3528893762316088,3
37,real_A,0038_real_A.png,13.549070288096987,0.359375,4.869197134784854,3
